EXP;-,(,a,b,8,3;False;True;2;False;False
T;-,(,a,b,8,3;False;True;5;True;False
EXP+;+,),$;False;True;8;True;False
$;$;True;True;0;False;True
T;-,(,a,b,8,3;False;True;6;False;False
F;-,(,a,b,8,3;False;True;14;True;False
T*;*,+,),$;False;True;29;False;False
EXP+;+;False;False;10;False;False
EXP+;),$;False;True;13;False;False
+;+;True;True;11;False;False
T;-,(,a,b,8,3;False;True;5;True;False
EXP+;+,),$;False;True;8;False;False
@;),$;False;True;0;False;False
F;-;False;False;20;False;False
F;(;False;False;22;False;False
F;a;False;False;25;False;False
F;b;False;False;26;False;False
F;8;False;False;27;False;False
F;3;False;True;28;False;False
-;-;True;True;21;False;False
F;-,(,a,b,8,3;False;True;14;False;False
(;(;True;True;23;False;False
EXP;-,(,a,b,8,3;False;True;1;True;False
););True;True;0;False;False
a;a;True;True;0;False;False
b;b;True;True;0;False;False
8;8;True;True;0;False;False
3;3;True;True;0;False;False
T*;*;False;False;31;False;False
T*;+,),$;False;True;34;False;False
*;*;True;True;32;False;False
F;-,(,a,b,8,3;False;True;14;True;False
T*;*,+,),$;False;True;29;False;False
@;+,),$;False;True;0;False;False
