EXP;-,(,a,b,8,3;False;True;2;False;False
T;-,(,a,b,8,3;False;True;6;True;False
EXP+;),$;False;False;8;False;False
EXP+;+;False;True;8;True;False
$;$;True;True;0;False;True
T;-,(,a,b,8,3;False;True;7;False;False
F;-,(,a,b,8,3;False;True;15;True;False
T*;*,+,),$;False;True;30;False;False
EXP+;+;False;False;11;False;False
EXP+;),$;False;True;14;False;False
+;+;True;True;12;False;False
T;-,(,a,b,8,3;False;True;6;True;False
EXP+;+,),$;False;True;9;False;False
@;),$;False;True;0;False;False
F;-;False;False;21;False;False
F;(;False;False;23;False;False
F;a;False;False;26;False;False
F;b;False;False;27;False;False
F;8;False;False;28;False;False
F;3;False;True;29;False;False
-;-;True;True;22;False;False
F;-,(,a,b,8,3;False;True;15;False;False
(;(;True;True;24;False;False
EXP;-,(,a,b,8,3;False;True;1;True;False
););True;True;0;False;False
a;a;True;True;0;False;False
b;b;True;True;0;False;False
8;8;True;True;0;False;False
3;3;True;True;0;False;False
T*;*;False;False;32;False;False
T*;+,),$;False;True;35;False;False
*;*;True;True;33;False;False
F;-,(,a,b,8,3;False;True;15;True;False
T*;*,+,),$;False;True;30;False;False
@;+,),$;False;True;0;False;False
