EXP;-,(,a,b,8,3;False;True;2;False;False
T;-,(,a,b,8,3;False;True;4;True;False
EXP+;+,),$;False;True;7;False;False
T;-,(,a,b,8,3;False;True;5;False;False
F;-,(,a,b,8,3;False;True;13;True;False
T*;*,+,),$;False;True;28;False;False
EXP+;+;False;False;9;False;False
EXP+;),$;False;True;12;False;False
+;+;True;True;10;False;False
T;-,(,a,b,8,3;False;True;4;True;False
EXP+;+,),$;False;True;7;False;False
@;),$;False;True;0;False;False
F;-;False;False;19;False;False
F;(;False;False;21;False;False
F;a;False;False;24;False;False
F;b;False;False;25;False;False
F;8;False;False;26;False;False
F;3;False;True;27;False;False
-;-;True;True;20;False;False
F;-,(,a,b,8,3;False;True;13;False;False
(;(;True;True;22;False;False
EXP;-,(,a,b,8,3;False;True;1;True;False
););True;True;0;False;False
a;a;True;True;0;False;False
b;b;True;True;0;False;False
8;8;True;True;0;False;False
3;3;True;True;0;False;False
T*;*;False;False;30;False;False
T*;+,),$;False;True;33;False;False
*;*;True;True;31;False;False
F;-,(,a,b,8,3;False;True;13;True;False
T*;*,+,),$;False;True;28;False;False
@;+,),$;False;True;0;False;False
